Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"POTATOES - YIELD, MEASURED IN CWT / ACRE  -  <b>VALUE</b>","POTATOES - YIELD, MEASURED IN CWT / ACRE  -  <b>CV (%)</b>"
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,396.00,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,393.00,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,390.00,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,391.00,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,367.00,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,362.00,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,358.00,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,381.00,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,359.00,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,343.00,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,345.00,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,350.00,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,323.00,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,339.00,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,326.00,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,323.00,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,304.00,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,293.00,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,289.00,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,283.00,
SURVEY,1987.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,301.00,
SURVEY,1986.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,296.00,
SURVEY,1985.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,299.00,
SURVEY,1984.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,279.00,
SURVEY,1983.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,269.00,
SURVEY,1982.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,280.00,
SURVEY,1981.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,276.00,
SURVEY,1980.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,265.00,
SURVEY,1979.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,272.00,
SURVEY,1978.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,267.00,
SURVEY,1977.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,261.00,
SURVEY,1976.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,261.00,
SURVEY,1975.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,256.00,
SURVEY,1974.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,246.00,
SURVEY,1973.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,230.00,
SURVEY,1972.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,236.00,
SURVEY,1971.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,230.00,
SURVEY,1970.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,229.00,
SURVEY,1969.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,221.00,
SURVEY,1968.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,214.00,
SURVEY,1967.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,209.00,
SURVEY,1966.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,210.00,
SURVEY,1965.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,210.00,
SURVEY,1964.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,190.00,
SURVEY,1963.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,205.00,
SURVEY,1962.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,197.00,
SURVEY,1961.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,198.00,
SURVEY,1960.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,185.00,
SURVEY,1959.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,184.00,
SURVEY,1958.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,187.00,
SURVEY,1957.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,178.00,
SURVEY,1956.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,179.00,
SURVEY,1955.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,162.00,
SURVEY,1954.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,155.00,
SURVEY,1953.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,151.00,
SURVEY,1952.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,151.00,
SURVEY,1951.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,145.00,
SURVEY,1950.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,153.00,
SURVEY,1949.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,137.30,
SURVEY,1948.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,136.30,
SURVEY,1947.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,116.60,
SURVEY,1946.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,115.70,
SURVEY,1945.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,94.40,
SURVEY,1944.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,82.90,
SURVEY,1943.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,85.00,
SURVEY,1942.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,82.90,
SURVEY,1941.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,79.30,
SURVEY,1940.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,79.90,
SURVEY,1939.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,73.00,
SURVEY,1938.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,74.40,
SURVEY,1937.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,73.90,
SURVEY,1936.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,65.60,
SURVEY,1935.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,65.50,
SURVEY,1934.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,67.70,
SURVEY,1933.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,60.20,
SURVEY,1932.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,63.00,
SURVEY,1931.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,66.10,
SURVEY,1930.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,65.70,
SURVEY,1929.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,66.00,
SURVEY,1928.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,73.30,
SURVEY,1927.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,69.70,
SURVEY,1926.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,68.60,
SURVEY,1925.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,63.30,
SURVEY,1924.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,74.20,
SURVEY,1923.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,65.10,
SURVEY,1922.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,63.90,
SURVEY,1921.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,54.20,
SURVEY,1920.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,67.10,
SURVEY,1919.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,54.10,
SURVEY,1918.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,57.70,
SURVEY,1917.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,62.90,
SURVEY,1916.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,49.60,
SURVEY,1915.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,58.90,
SURVEY,1914.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,64.70,
SURVEY,1913.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,57.40,
SURVEY,1912.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,69.50,
SURVEY,1911.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,51.40,
SURVEY,1910.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,56.30,
SURVEY,1909.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,63.70,
SURVEY,1908.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,53.60,
SURVEY,1907.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,59.90,
SURVEY,1906.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,62.90,
SURVEY,1905.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,55.30,
SURVEY,1904.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,65.30,
SURVEY,1903.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,53.80,
SURVEY,1902.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,57.80,
SURVEY,1901.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,42.20,
SURVEY,1900.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,52.00,
SURVEY,1899.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,55.60,
SURVEY,1898.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,50.10,
SURVEY,1897.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,42.30,
SURVEY,1896.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,53.10,
SURVEY,1895.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,58.70,
SURVEY,1894.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,41.30,
SURVEY,1893.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,46.90,
SURVEY,1892.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,45.30,
SURVEY,1891.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,60.10,
SURVEY,1890.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,39.90,
SURVEY,1889.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,50.20,
SURVEY,1888.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,55.20,
SURVEY,1887.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,38.80,
SURVEY,1886.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,48.90,
SURVEY,1885.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,50.60,
SURVEY,1884.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,54.10,
SURVEY,1883.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,57.40,
SURVEY,1882.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,53.40,
SURVEY,1881.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,37.60,
SURVEY,1880.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,50.30,
SURVEY,1879.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,51.80,
SURVEY,1878.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,45.80,
SURVEY,1877.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,55.50,
SURVEY,1876.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,41.30,
SURVEY,1875.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,60.30,
SURVEY,1874.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,47.60,
SURVEY,1873.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,50.30,
SURVEY,1872.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,51.40,
SURVEY,1871.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,54.10,
SURVEY,1870.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,44.90,
SURVEY,1869.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,58.70,
SURVEY,1868.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,51.50,
SURVEY,1867.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,46.40,
SURVEY,1866.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,TOTAL,NOT SPECIFIED,54.70,
