Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,"SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","SOYBEANS - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
SURVEY,2007.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,41.70,
SURVEY,2006.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,42.90,
SURVEY,2005.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,43.10,
SURVEY,2004.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,42.20,
SURVEY,2003.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,33.90,
SURVEY,2002.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,38.00,
SURVEY,2001.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,39.60,
SURVEY,2000.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,38.10,
SURVEY,1999.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,36.60,
SURVEY,1998.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,38.90,
SURVEY,1997.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,38.90,
SURVEY,1996.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,37.60,
SURVEY,1995.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,35.30,
SURVEY,1994.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,41.40,
SURVEY,1993.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,32.60,
SURVEY,1992.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,37.60,
SURVEY,1991.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,34.20,
SURVEY,1990.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,34.10,
SURVEY,1989.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,32.30,
SURVEY,1988.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,27.00,
SURVEY,1987.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,33.90,
SURVEY,1986.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,33.30,
SURVEY,1985.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,34.10,
SURVEY,1984.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,28.10,
SURVEY,1983.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,26.20,
SURVEY,1982.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,31.50,
SURVEY,1981.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,30.10,
SURVEY,1980.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,26.50,
SURVEY,1979.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,32.10,
SURVEY,1978.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,29.40,
SURVEY,1977.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,30.60,
SURVEY,1976.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,26.10,
SURVEY,1975.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,28.90,
SURVEY,1974.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,23.70,
SURVEY,1973.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,27.80,
SURVEY,1972.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,27.80,
SURVEY,1971.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,27.50,
SURVEY,1970.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,26.70,
SURVEY,1969.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,27.40,
SURVEY,1968.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,26.70,
SURVEY,1967.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,24.50,
SURVEY,1966.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,25.40,
SURVEY,1965.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,24.50,
SURVEY,1964.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,22.80,
SURVEY,1963.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,24.40,
SURVEY,1962.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,24.20,
SURVEY,1961.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,25.10,
SURVEY,1960.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,23.50,
SURVEY,1959.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,23.50,
SURVEY,1958.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,24.20,
SURVEY,1957.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,23.20,
SURVEY,1956.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,21.80,
SURVEY,1955.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.10,
SURVEY,1954.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.00,
SURVEY,1953.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,18.20,
SURVEY,1952.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.70,
SURVEY,1951.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.80,
SURVEY,1950.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,21.70,
SURVEY,1949.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,22.30,
SURVEY,1948.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,21.30,
SURVEY,1947.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,16.30,
SURVEY,1946.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.50,
SURVEY,1945.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,18.00,
SURVEY,1944.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,18.80,
SURVEY,1943.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,18.30,
SURVEY,1942.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,19.00,
SURVEY,1941.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,18.20,
SURVEY,1940.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,16.20,
SURVEY,1939.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.90,
SURVEY,1938.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,20.40,
SURVEY,1937.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,17.90,
SURVEY,1936.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,14.30,
SURVEY,1935.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,16.80,
SURVEY,1934.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,14.90,
SURVEY,1933.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,12.90,
SURVEY,1932.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,15.10,
SURVEY,1931.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,15.10,
SURVEY,1930.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,13.00,
SURVEY,1929.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,13.30,
SURVEY,1928.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,13.60,
SURVEY,1927.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,12.20,
SURVEY,1926.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,11.20,
SURVEY,1925.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,11.70,
SURVEY,1924.00,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,SOYBEANS,TOTAL,NOT SPECIFIED,11.00,
